,score,player,gw,owner,team,owner_color
68,9.0,Aaron Ramsdale,11.0,james west,best in the west,#ffb400
69,8.0,Andreas Pereira,12.0,james west,best in the west,#ffb400
70,17.0,James Tarkowski,13.0,james west,best in the west,#ffb400
71,17.0,Virgil van Dijk,14.0,james west,best in the west,#ffb400
72,8.0,João Filipe Iria Santos Moutinho,15.0,james west,best in the west,#ffb400
73,10.0,Vicente Guaita,16.0,james west,best in the west,#ffb400
74,19.0,Kevin De Bruyne,17.0,james west,best in the west,#ffb400
75,6.0,James Tarkowski,18.0,james west,best in the west,#ffb400
76,13.0,Adama Traoré,19.0,james west,best in the west,#ffb400
77,14.0,Kevin De Bruyne,20.0,james west,best in the west,#ffb400
78,7.0,Virgil van Dijk,21.0,james west,best in the west,#ffb400
79,20.0,Sergio Agüero,22.0,james west,best in the west,#ffb400
80,13.0,Sergio Agüero,23.0,james west,best in the west,#ffb400
81,9.0,Troy Deeney,24.0,james west,best in the west,#ffb400
82,15.0,Yerry Mina,25.0,james west,best in the west,#ffb400
83,14.0,Kevin De Bruyne,26.0,james west,best in the west,#ffb400
84,9.0,Georginio Wijnaldum,27.0,james west,best in the west,#ffb400
85,11.0,Troy Deeney,28.0,james west,best in the west,#ffb400
86,19.0,Harvey Barnes,29.0,james west,best in the west,#ffb400
87,6.0,Pierre-Emerick Aubameyang,1.0,Peter Allan,Wizards of Ozil,#c73b32
88,6.0,Joshua King,2.0,Peter Allan,Wizards of Ozil,#c73b32
89,7.0,Harvey Barnes,3.0,Peter Allan,Wizards of Ozil,#c73b32
90,11.0,Trent Alexander-Arnold,4.0,Peter Allan,Wizards of Ozil,#c73b32
91,13.0,Pierre-Emerick Aubameyang,5.0,Peter Allan,Wizards of Ozil,#c73b32
92,10.0,John McGinn,6.0,Peter Allan,Wizards of Ozil,#c73b32
93,12.0,Joshua King,7.0,Peter Allan,Wizards of Ozil,#c73b32
94,8.0,Martin Dubravka,8.0,Peter Allan,Wizards of Ozil,#c73b32
95,7.0,Michael Keane,9.0,Peter Allan,Wizards of Ozil,#c73b32
96,20.0,Ayoze Pérez,10.0,Peter Allan,Wizards of Ozil,#c73b32
97,8.0,Pierre-Emerick Aubameyang,11.0,Peter Allan,Wizards of Ozil,#c73b32
98,8.0,Harvey Barnes,12.0,Peter Allan,Wizards of Ozil,#c73b32
99,8.0,Ayoze Pérez,13.0,Peter Allan,Wizards of Ozil,#c73b32
100,13.0,Pierre-Emerick Aubameyang,14.0,Peter Allan,Wizards of Ozil,#c73b32
101,10.0,Martin Dubravka,15.0,Peter Allan,Wizards of Ozil,#c73b32
102,14.0,George Baldock,16.0,Peter Allan,Wizards of Ozil,#c73b32
103,8.0,Wilfried Zaha,17.0,Peter Allan,Wizards of Ozil,#c73b32
104,10.0,Todd Cantwell,18.0,Peter Allan,Wizards of Ozil,#c73b32
105,24.0,Trent Alexander-Arnold,19.0,Peter Allan,Wizards of Ozil,#c73b32
106,12.0,Dominic Calvert-Lewin,20.0,Peter Allan,Wizards of Ozil,#c73b32
107,13.0,Ayoze Pérez,21.0,Peter Allan,Wizards of Ozil,#c73b32
108,6.0,Trent Alexander-Arnold,22.0,Peter Allan,Wizards of Ozil,#c73b32
109,14.0,Paulo Gazzaniga,23.0,Peter Allan,Wizards of Ozil,#c73b32
110,16.0,Jordan Henderson,24.0,Peter Allan,Wizards of Ozil,#c73b32
