,chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,position,team_name,friendly_name
301,100.0,100.0,444884,0,0,0,0,0,3,1.0,1.0,0,Harvey,0.0,550,False,,2019-11-13T16:30:17.659021Z,45,444884.jpg,1.0,Elliott,0.0,False,,a,10,14,1,1092,4,988,10,0.0,0.2,Elliott,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,MID,Liverpool,Harvey Elliott
302,,,206915,0,0,0,0,0,3,1.0,1.0,0,Curtis,0.0,569,False,,,45,206915.jpg,1.0,Jones,0.0,False,,a,10,14,2,697,17,557,14,0.0,0.4,Jones,19,0,0,0,0,0,0,0,0,0,0,0,8,5.2,3.5,4.0,1.1,MID,Liverpool,Curtis Jones
303,,,215136,0,0,0,0,0,2,1.0,1.0,0,Neco,0.0,575,False,,,40,215136.jpg,0.0,Williams,0.1,False,,a,10,14,0,7314,213,5444,188,0.0,0.0,Williams,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,DEF,Liverpool,Neco Williams
304,0.0,0.0,197464,0,0,0,0,0,2,0.0,0.0,0,Nathaniel,0.0,589,False,Joined Stuttgart on loan until the end of the season on 13/1. - Expected back 01 Jul,2020-01-13T10:30:15.674267Z,40,197464.jpg,0.0,Phillips,0.0,False,,n,10,14,0,225,5,215,8,0.0,0.0,Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,DEF,Liverpool,Nathaniel Phillips
305,,,157882,0,0,-4,4,0,3,1.2,1.2,0,Takumi,0.2,590,False,,,61,157882.jpg,1.0,Minamino,0.0,False,,a,10,14,3,18441,76,16105,233,0.0,0.5,Minamino,77,0,0,0,1,0,0,0,0,0,0,0,6,6.0,8.7,12.0,2.4,MID,Liverpool,Takumi Minamino
306,,,441271,0,0,0,0,0,2,1.0,1.0,0,Ki-Jana,0.0,628,False,,,40,441271.jpg,0.0,Hoever,0.0,False,,a,10,14,0,68,24,27,18,0.0,0.0,Hoever,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,DEF,Liverpool,Ki-Jana Hoever
307,75.0,0.0,146941,0,0,-2,2,0,2,0.0,0.0,0,Aymeric,2.3,202,False,Hamstring injury - 75% chance of playing,2020-02-26T22:30:14.945527Z,63,146941.jpg,3.1,Laporte,2.0,False,,d,11,43,22,152935,76,585817,1673,0.4,3.5,Laporte,504,0,0,3,3,0,0,0,1,0,0,0,118,101.0,33.6,21.0,15.5,DEF,Man City,Aymeric Laporte
308,100.0,100.0,58621,0,0,-3,3,1,2,5.3,4.8,0,Kyle,4.3,203,False,,2019-10-19T19:00:18.236898Z,57,58621.jpg,3.5,Walker,11.1,False,,a,11,43,73,764762,4638,1320416,8198,0.8,12.8,Walker,1807,1,2,7,22,0,0,0,4,0,0,4,391,307.4,265.4,132.0,70.7,DEF,Man City,Kyle Walker
309,100.0,100.0,102826,0,0,-5,5,0,2,5.3,4.8,1,Benjamin,4.3,204,False,,2020-03-12T23:00:15.905785Z,55,102826.jpg,3.5,Mendy,1.1,False,,a,11,43,49,268940,2164,234273,2800,0.8,8.9,Mendy,1114,0,2,5,12,0,0,0,2,0,0,2,267,204.0,317.0,81.0,60.4,DEF,Man City,Benjamin Mendy
310,100.0,100.0,206325,0,0,-3,3,0,2,1.7,1.2,2,Oleksandr,0.7,206,False,,2020-02-02T19:00:22.086802Z,52,206325.jpg,2.6,Zinchenko,2.3,False,,a,11,43,31,597538,694,1153940,348,0.1,6.0,Zinchenko,905,0,0,4,12,0,0,0,0,1,0,1,197,166.8,259.6,61.0,48.9,DEF,Man City,Oleksandr Zinchenko
