,code,team_h,team_h_score_x,team_a,team_a_score_x,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id,position,first_name,photo,second_name,team,team_name,news,news_added,id,team_h_difficulty,team_h_score_y,team_h_name,team_a_difficulty,team_a_score_y,team_a_name
24,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,True,2,486,DEF,Cédric,58822.jpg,Soares,1,Arsenal,,2020-01-21T22:00:20.334842Z,486,2,,Arsenal,4,,Norwich
25,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,True,2,488,MID,Nicolas,195735.jpg,Pépé,1,Arsenal,,2019-12-11T12:30:12.556688Z,488,2,,Arsenal,4,,Norwich
26,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,True,2,489,MID,Reiss,200641.jpg,Nelson,1,Arsenal,,2020-01-18T17:00:23.535651Z,489,2,,Arsenal,4,,Norwich
27,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,True,2,490,MID,Joseph,200089.jpg,Willock,1,Arsenal,,2019-09-07T11:30:17.190466Z,490,2,,Arsenal,4,,Norwich
28,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,True,2,504,FWD,Gabriel Teodoro,444145.jpg,Martinelli Silva,1,Arsenal,,2019-12-23T12:00:20.317919Z,504,2,,Arsenal,4,,Norwich
29,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,True,2,515,DEF,Kieran,192895.jpg,Tierney,1,Arsenal,Lack of match fitness - 75% chance of playing,2019-12-09T22:00:21.790216Z,515,2,,Arsenal,4,,Norwich
30,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,True,2,541,MID,Bukayo,223340.jpg,Saka,1,Arsenal,,2020-02-02T17:00:24.409161Z,541,2,,Arsenal,4,,Norwich
31,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,True,2,576,MID,Emile,209289.jpg,Smith Rowe,1,Arsenal,Joined Huddersfield Town on loan until the end of the season on 10/1. - Expected back 01 Jul,2020-01-10T20:00:21.634861Z,576,2,,Arsenal,4,,Norwich
32,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,True,2,585,FWD,Tyreece,232233.jpg,John-Jules,1,Arsenal,Joined Lincoln City on loan until the end of the season on 10/1. - Expected back 01 Jul,2020-01-16T10:30:19.626655Z,585,2,,Arsenal,4,,Norwich
33,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,True,2,617,DEF,Pablo,92371.jpg,Marí,1,Arsenal,,2020-02-14T10:30:20.035710Z,617,2,,Arsenal,4,,Norwich
34,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,272,DEF,Timm,84384.jpg,Klose,14,Norwich,Lack of match fitness - 75% chance of playing,2019-08-27T21:30:10.685404Z,272,2,,Arsenal,4,,Norwich
35,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,273,DEF,Ben,198826.jpg,Godfrey,14,Norwich,,2020-01-18T19:30:17.891258Z,273,2,,Arsenal,4,,Norwich
36,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,274,DEF,Maximillian,232980.jpg,Aarons,14,Norwich,,2019-12-27T23:30:16.214403Z,274,2,,Arsenal,4,,Norwich
37,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,275,DEF,Christoph,192303.jpg,Zimmermann,14,Norwich,,2020-02-21T13:30:22.332031Z,275,2,,Arsenal,4,,Norwich
38,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,276,DEF,Jamal,194799.jpg,Lewis,14,Norwich,,2019-11-18T15:00:15.322949Z,276,2,,Arsenal,4,,Norwich
39,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,277,DEF,Grant,83428.jpg,Hanley,14,Norwich,,2020-01-11T20:30:19.344676Z,277,2,,Arsenal,4,,Norwich
40,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,278,FWD,Teemu,57127.jpg,Pukki,14,Norwich,,2020-03-03T15:00:27.073569Z,278,2,,Arsenal,4,,Norwich
41,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,279,FWD,Dennis,179587.jpg,Srbeny,14,Norwich,Joined SC Paderborn on a permanent deal on 8/1,2020-01-03T15:30:19.113612Z,279,2,,Arsenal,4,,Norwich
42,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,280,GK,Tim,20480.jpg,Krul,14,Norwich,,2019-10-27T20:00:16.930339Z,280,2,,Arsenal,4,,Norwich
43,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,281,GK,Michael,18499.jpg,McGovern,14,Norwich,,,281,2,,Arsenal,4,,Norwich
44,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,282,MID,Mario,37614.jpg,Vrancic,14,Norwich,,2020-01-21T14:00:15.440064Z,282,2,,Arsenal,4,,Norwich
45,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,283,MID,Emiliano,195546.jpg,Buendía,14,Norwich,,2020-03-04T23:30:19.132977Z,283,2,,Arsenal,4,,Norwich
46,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,284,MID,Onel,89470.jpg,Hernández,14,Norwich,Knee injury - Expected back 02 May,2020-02-21T13:30:22.348352Z,284,2,,Arsenal,4,,Norwich
47,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,285,MID,Marco,71738.jpg,Stiepermann,14,Norwich,,,285,2,,Arsenal,4,,Norwich
48,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,286,MID,Kenny,78607.jpg,McLean,14,Norwich,,2020-01-24T15:00:18.009033Z,286,2,,Arsenal,4,,Norwich
49,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,287,MID,Todd,193111.jpg,Cantwell,14,Norwich,,2020-01-24T15:00:18.019788Z,287,2,,Arsenal,4,,Norwich
50,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,288,MID,Moritz,87396.jpg,Leitner,14,Norwich,,2019-09-13T13:30:19.474643Z,288,2,,Arsenal,4,,Norwich
51,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,289,MID,Alexander,18665.jpg,Tettey,14,Norwich,,2020-03-03T15:00:27.123060Z,289,2,,Arsenal,4,,Norwich
52,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,290,MID,Tom,90440.jpg,Trybull,14,Norwich,,2019-09-04T09:00:11.384947Z,290,2,,Arsenal,4,,Norwich
53,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,434,FWD,Josip,81048.jpg,Drmic,14,Norwich,,2019-11-11T12:00:15.065845Z,434,2,,Arsenal,4,,Norwich
54,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,435,MID,Patrick,124165.jpg,Roberts,14,Norwich,Joined Middlesbrough on loan until the end of the season on 2/1. - Expected back 01 Jul,2020-01-02T20:30:19.362679Z,435,2,,Arsenal,4,,Norwich
55,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,449,GK,Ralf,28082.jpg,Fahrmann,14,Norwich,Loan ended,2020-03-03T15:00:27.954303Z,449,2,,Arsenal,4,,Norwich
56,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,454,DEF,Sam,113564.jpg,Byram,14,Norwich,Hamstring injury - Expected back 21 Jun,2020-02-15T19:30:19.770615Z,454,2,,Arsenal,4,,Norwich
57,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,484,DEF,Philip,101061.jpg,Heise,14,Norwich,Joined Nurnberg on loan until the end of the season on 4/1. - Expected back 01 Jul,2020-01-10T20:00:21.434889Z,484,2,,Arsenal,4,,Norwich
58,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,507,MID,Ibrahim,128348.jpg,Amadou,14,Norwich,Loan deal ended on 31/1,2020-01-31T23:00:20.708006Z,507,2,,Arsenal,4,,Norwich
59,1060013,1,,14,,32.0,False,0,False,2020-04-04 14:00:00,Gameweek 32,False,4,538,FWD,Adam,432735.jpg,Idah,14,Norwich,,,538,2,,Arsenal,4,,Norwich
